case,action,cost,expected_eliminations,expected_eliminations_per_cost,actual_eliminations_per_cost,rank,non_discriminating,repeated
initial,A,3,1.5,0.5,0.3333333333333333,6,False,False
initial,B,1,2.0,2.0,2.0,2,False,False
initial,C,4,2.5,0.625,0.5,4,False,False
initial,D,1,2.5,2.5,2.0,1,False,False
initial,E,2,1.5,0.75,0.5,3,False,False
initial,F,5,3.0,0.6,0.6,5,False,False
matched_clients,A,3,0.0,0.0,0.0,4,True,False
matched_clients,B,1,0.0,0.0,0.0,4,True,True
matched_clients,C,4,1.0,0.25,0.25,2,False,False
matched_clients,D,1,1.0,1.0,1.0,1,False,False
matched_clients,E,2,0.0,0.0,0.0,4,True,False
matched_clients,F,5,1.0,0.2,0.2,3,False,False
request_boundary,A,3,0.0,0.0,0.0,5,True,True
request_boundary,B,1,1.3333333333333333,1.3333333333333333,1.0,1,False,False
request_boundary,C,4,1.3333333333333333,0.3333333333333333,0.25,4,False,False
request_boundary,D,1,1.3333333333333333,1.3333333333333333,1.0,1,False,False
request_boundary,E,2,0.0,0.0,0.0,5,True,False
request_boundary,F,5,2.0,0.4,0.4,3,False,False
captured_requests,A,3,0.0,0.0,0.0,3,True,False
captured_requests,B,1,1.0,1.0,1.0,1,False,False
captured_requests,C,4,0.0,0.0,0.0,3,True,False
captured_requests,D,1,0.0,0.0,0.0,3,True,True
captured_requests,E,2,0.0,0.0,0.0,3,True,False
captured_requests,F,5,1.0,0.2,0.2,2,False,False
matched_and_healthy,A,3,0.0,0.0,0.0,4,True,False
matched_and_healthy,B,1,0.0,0.0,0.0,4,True,True
matched_and_healthy,C,4,1.0,0.25,0.25,2,False,False
matched_and_healthy,D,1,1.0,1.0,1.0,1,False,False
matched_and_healthy,E,2,0.0,0.0,0.0,4,True,True
matched_and_healthy,F,5,1.0,0.2,0.2,3,False,False
