world,arm,attempted,invalid_outputs,isolated,isolation_rate_attempted,executed_actions,expected_optimal_action_rate,optimal_decision_yield_including_invalid,mean_cost_spent,mean_executed_steps,steps_to_isolation,zero_information_count,zero_information_rate,redundant_repeat_count,redundant_repeat_rate
H1,A,5,5,0,0,0,,0,0,0,,0,,0,
H1,B,5,5,0,0,0,,0,0,0,,0,,0,
H1,C,5,5,0,0,0,,0,0,0,,0,,0,
H1,B_reverse,5,5,0,0,0,,0,0,0,,0,,0,
H2,A,5,5,0,0,0,,0,0,0,,0,,0,
H2,B,5,5,0,0,0,,0,0,0,,0,,0,
H2,C,5,5,0,0,0,,0,0,0,,0,,0,
H2,B_reverse,5,5,0,0,0,,0,0,0,,0,,0,
H3,A,5,5,0,0,0,,0,0,0,,0,,0,
H3,B,5,5,0,0,0,,0,0,0,,0,,0,
H3,C,5,5,0,0,0,,0,0,0,,0,,0,
H3,B_reverse,5,5,0,0,0,,0,0,0,,0,,0,
H4,A,5,5,0,0,0,,0,0,0,,0,,0,
H4,B,5,5,0,0,0,,0,0,0,,0,,0,
H4,C,5,5,0,0,0,,0,0,0,,0,,0,
H4,B_reverse,5,5,0,0,0,,0,0,0,,0,,0,
