world,arm,episodes,decisions,executed,execution_validity,first_executed_actions,expected_optimal_count,expected_optimal_rate,optimal_yield_including_invalid,mean_episode_optimal_rate,top2_count,top2_rate,isolated,isolation_rate,mean_cost_spent,median_cost_spent,mean_cost_success,mean_steps_executed,mean_steps_to_isolation,zero_information_count,zero_information_rate,redundant_repeat_count,redundant_repeat_rate,f_executions,invalid_episodes,runtime_error_episodes,capped_episodes
H1,A,5,16,16,1.0,"A:1, C:4",0,0.0,0.0,0.0,5,0.3125,5,1.0,12.6,12,12.6,3.2,3.2,5,0.3125,1,0.0625,5,0,0,0
H1,B,5,19,18,0.9473684210526315,A:5,0,0.0,0.0,0.0,4,0.2222222222222222,4,0.8,12.8,12,14.25,3.6,4,4,0.2222222222222222,2,0.1111111111111111,4,1,0,0
H1,C,5,25,25,1.0,A:5,1,0.04,0.04,0.04,5,0.2,5,1.0,14.8,15,14.8,5,5,10,0.4,2,0.08,4,0,0,0
H1,B_reverse,5,18,17,0.9444444444444444,A:5,0,0.0,0.0,0.0,4,0.23529411764705882,4,0.8,12.2,13,13.5,3.4,3.75,3,0.17647058823529413,1,0.058823529411764705,4,1,0,0
H2,A,5,6,6,1.0,"A:1, C:4",0,0.0,0.0,0.0,0,0.0,5,1.0,4.6,4,4.6,1.2,1.2,0,0.0,0,0.0,0,0,0,0
H2,B,5,13,13,1.0,A:5,0,0.0,0.0,0.0,0,0.0,5,1.0,8.4,7,8.4,2.6,2.6,3,0.23076923076923078,1,0.07692307692307693,0,0,0,0
H2,C,5,15,15,1.0,A:5,0,0.0,0.0,0.0,0,0.0,5,1.0,9.2,9,9.2,3,3,5,0.3333333333333333,1,0.06666666666666667,0,0,0,0
H2,B_reverse,5,11,11,1.0,A:5,0,0.0,0.0,0.0,0,0.0,5,1.0,7.6,7,7.6,2.2,2.2,1,0.09090909090909091,1,0.09090909090909091,0,0,0,0
H3,A,5,16,16,1.0,"A:1, C:4",0,0.0,0.0,0.0,5,0.3125,5,1.0,12.6,12,12.6,3.2,3.2,5,0.3125,1,0.0625,5,0,0,0
H3,B,5,20,19,0.95,A:5,1,0.05263157894736842,0.05,0.04,4,0.21052631578947367,4,0.8,12.2,12,13.5,3.8,4.25,5,0.2631578947368421,1,0.05263157894736842,3,1,0,0
H3,C,5,24,24,1.0,A:5,2,0.08333333333333333,0.08333333333333333,0.08,5,0.20833333333333334,5,1.0,13.4,15,13.4,4.8,4.8,9,0.375,1,0.041666666666666664,3,0,0,0
H3,B_reverse,5,17,16,0.9411764705882353,A:5,0,0.0,0.0,0.0,4,0.25,4,0.8,12,12,13.25,3.2,3.5,2,0.125,1,0.0625,4,1,0,0
H4,A,5,5,5,1.0,"A:1, C:4",0,0.0,0.0,0.0,0,0.0,5,1.0,3.8,4,3.8,1,1,0,0.0,0,0.0,0,0,0,0
H4,B,5,5,5,1.0,A:5,0,0.0,0.0,0.0,0,0.0,5,1.0,3,3,3,1,1,0,0.0,0,0.0,0,0,0,0
H4,C,5,5,5,1.0,A:5,0,0.0,0.0,0.0,0,0.0,5,1.0,3,3,3,1,1,0,0.0,0,0.0,0,0,0,0
H4,B_reverse,5,5,5,1.0,A:5,0,0.0,0.0,0.0,0,0.0,5,1.0,3,3,3,1,1,0,0.0,0,0.0,0,0,0,0
ALL,A,20,43,43,1.0,"A:4, C:16",0,0.0,0.0,0.0,10,0.23255813953488372,20,1.0,8.4,9.5,8.4,2.15,2.15,10,0.23255813953488372,2,0.046511627906976744,10,0,0,0
ALL,B,20,57,55,0.9649122807017544,A:20,1,0.01818181818181818,0.017543859649122806,0.01,8,0.14545454545454545,18,0.9,9.1,8.0,9.333333333333334,2.75,2.8333333333333335,12,0.21818181818181817,4,0.07272727272727272,7,2,0,0
ALL,C,20,69,69,1.0,A:20,3,0.043478260869565216,0.043478260869565216,0.030000000000000002,10,0.14492753623188406,20,1.0,10.1,10.5,10.1,3.45,3.45,24,0.34782608695652173,4,0.057971014492753624,7,0,0,0
ALL,B_reverse,20,51,49,0.9607843137254902,A:20,0,0.0,0.0,0.0,8,0.16326530612244897,18,0.9,8.7,7.0,8.88888888888889,2.45,2.5,6,0.12244897959183673,3,0.061224489795918366,8,2,0,0
