world,arm,pf,selector_turns,selected,selection_rate,retained_dispatches,dispatches,gate_true,activated,activation_rate_per_dispatch
H1,B,evidence_collection,18,13,0.7222222222222222,,18,5,5,0.2777777777777778
H1,B,request_id_trace,18,4,0.2222222222222222,,18,0,0,0.0
H1,B,comparison_experiment,18,1,0.05555555555555555,,18,0,0,0.0
H1,B,dependency_trace,18,2,0.1111111111111111,,18,1,1,0.05555555555555555
H1,B,binary_isolation,18,5,0.2777777777777778,,18,1,1,0.05555555555555555
H1,C,evidence_collection,0,,,25,25,5,5,0.2
H1,C,request_id_trace,0,,,25,25,0,0,0.0
H1,C,comparison_experiment,0,,,25,25,0,0,0.0
H1,C,dependency_trace,0,,,25,25,5,5,0.2
H1,C,binary_isolation,0,,,25,25,4,4,0.16
H1,B_reverse,evidence_collection,17,8,0.47058823529411764,,17,5,5,0.29411764705882354
H1,B_reverse,request_id_trace,17,9,0.5294117647058824,,17,0,0,0.0
H1,B_reverse,comparison_experiment,17,1,0.058823529411764705,,17,0,0,0.0
H1,B_reverse,dependency_trace,17,3,0.17647058823529413,,17,2,2,0.11764705882352941
H1,B_reverse,binary_isolation,17,3,0.17647058823529413,,17,0,0,0.0
H2,B,evidence_collection,13,10,0.7692307692307693,,13,5,5,0.38461538461538464
H2,B,request_id_trace,13,3,0.23076923076923078,,13,0,0,0.0
H2,B,comparison_experiment,13,0,0.0,,13,0,0,0.0
H2,B,dependency_trace,13,2,0.15384615384615385,,13,2,2,0.15384615384615385
H2,B,binary_isolation,13,0,0.0,,13,0,0,0.0
H2,C,evidence_collection,0,,,15,15,5,5,0.3333333333333333
H2,C,request_id_trace,0,,,15,15,0,0,0.0
H2,C,comparison_experiment,0,,,15,15,0,0,0.0
H2,C,dependency_trace,0,,,15,15,5,5,0.3333333333333333
H2,C,binary_isolation,0,,,15,15,0,0,0.0
H2,B_reverse,evidence_collection,11,7,0.6363636363636364,,11,5,5,0.45454545454545453
H2,B_reverse,request_id_trace,11,10,0.9090909090909091,,11,0,0,0.0
H2,B_reverse,comparison_experiment,11,0,0.0,,11,0,0,0.0
H2,B_reverse,dependency_trace,11,0,0.0,,11,0,0,0.0
H2,B_reverse,binary_isolation,11,0,0.0,,11,0,0,0.0
H3,B,evidence_collection,19,11,0.5789473684210527,,19,5,5,0.2631578947368421
H3,B,request_id_trace,19,4,0.21052631578947367,,19,0,0,0.0
H3,B,comparison_experiment,19,1,0.05263157894736842,,19,0,0,0.0
H3,B,dependency_trace,19,5,0.2631578947368421,,19,3,3,0.15789473684210525
H3,B,binary_isolation,19,5,0.2631578947368421,,19,1,1,0.05263157894736842
H3,C,evidence_collection,0,,,24,24,5,5,0.20833333333333334
H3,C,request_id_trace,0,,,24,24,0,0,0.0
H3,C,comparison_experiment,0,,,24,24,0,0,0.0
H3,C,dependency_trace,0,,,24,24,5,5,0.20833333333333334
H3,C,binary_isolation,0,,,24,24,4,4,0.16666666666666666
H3,B_reverse,evidence_collection,16,7,0.4375,,16,4,4,0.25
H3,B_reverse,request_id_trace,16,8,0.5,,16,0,0,0.0
H3,B_reverse,comparison_experiment,16,0,0.0,,16,0,0,0.0
H3,B_reverse,dependency_trace,16,3,0.1875,,16,2,2,0.125
H3,B_reverse,binary_isolation,16,3,0.1875,,16,0,0,0.0
H4,B,evidence_collection,5,4,0.8,,5,4,4,0.8
H4,B,request_id_trace,5,2,0.4,,5,0,0,0.0
H4,B,comparison_experiment,5,0,0.0,,5,0,0,0.0
H4,B,dependency_trace,5,0,0.0,,5,0,0,0.0
H4,B,binary_isolation,5,0,0.0,,5,0,0,0.0
H4,C,evidence_collection,0,,,5,5,5,5,1.0
H4,C,request_id_trace,0,,,5,5,0,0,0.0
H4,C,comparison_experiment,0,,,5,5,0,0,0.0
H4,C,dependency_trace,0,,,5,5,0,0,0.0
H4,C,binary_isolation,0,,,5,5,0,0,0.0
H4,B_reverse,evidence_collection,5,4,0.8,,5,4,4,0.8
H4,B_reverse,request_id_trace,5,5,1.0,,5,0,0,0.0
H4,B_reverse,comparison_experiment,5,0,0.0,,5,0,0,0.0
H4,B_reverse,dependency_trace,5,0,0.0,,5,0,0,0.0
H4,B_reverse,binary_isolation,5,0,0.0,,5,0,0,0.0
ALL,B,evidence_collection,55,38,0.6909090909090909,,55,19,19,0.34545454545454546
ALL,B,request_id_trace,55,13,0.23636363636363636,,55,0,0,0.0
ALL,B,comparison_experiment,55,2,0.03636363636363636,,55,0,0,0.0
ALL,B,dependency_trace,55,9,0.16363636363636364,,55,6,6,0.10909090909090909
ALL,B,binary_isolation,55,10,0.18181818181818182,,55,2,2,0.03636363636363636
ALL,C,evidence_collection,0,,,69,69,20,20,0.2898550724637681
ALL,C,request_id_trace,0,,,69,69,0,0,0.0
ALL,C,comparison_experiment,0,,,69,69,0,0,0.0
ALL,C,dependency_trace,0,,,69,69,15,15,0.21739130434782608
ALL,C,binary_isolation,0,,,69,69,8,8,0.11594202898550725
ALL,B_reverse,evidence_collection,49,26,0.5306122448979592,,49,18,18,0.3673469387755102
ALL,B_reverse,request_id_trace,49,32,0.6530612244897959,,49,0,0,0.0
ALL,B_reverse,comparison_experiment,49,1,0.02040816326530612,,49,0,0,0.0
ALL,B_reverse,dependency_trace,49,6,0.12244897959183673,,49,4,4,0.08163265306122448
ALL,B_reverse,binary_isolation,49,6,0.12244897959183673,,49,0,0,0.0
