world,arm,executed,action_changed,improved,unchanged_score,worse,base_log_or_trace,log_trace_to_comparison,transitions
H1,A,16,0,0,16,0,11,0,"A→A:6, C→C:5, F→F:5"
H1,B,18,7,0,11,7,12,0,"A→A:1, C→A:5, C→C:5, C→E:1, D→D:1, F→A:1, F→F:4"
H1,C,25,11,1,14,10,15,0,"A→A:1, C→A:5, C→C:5, C→E:4, D→D:4, F→A:1, F→B:1, F→F:4"
H1,B_reverse,17,7,0,11,6,11,0,"A→A:1, C→A:5, C→C:5, E→D:1, F→E:1, F→F:4"
H2,A,6,0,0,6,0,6,0,"A→A:1, C→C:5"
H2,B,13,7,0,6,7,13,0,"A→A:1, C→A:5, C→C:5, C→E:2"
H2,C,15,9,0,6,9,15,0,"A→A:1, C→A:5, C→C:5, C→E:4"
H2,B_reverse,11,5,0,6,5,11,0,"A→A:1, C→A:5, C→C:5"
H3,A,16,0,0,16,0,11,0,"A→A:6, C→C:5, F→F:5"
H3,B,19,9,1,10,8,13,0,"A→A:1, C→A:5, C→C:5, C→E:2, D→D:1, F→B:1, F→E:1, F→F:3"
H3,C,24,11,2,13,9,15,0,"A→A:1, C→A:5, C→C:5, C→E:4, D→D:4, F→B:2, F→F:3"
H3,B_reverse,16,6,0,11,5,10,0,"A→A:1, C→A:4, C→C:5, E→A:1, F→E:1, F→F:4"
H4,A,5,0,0,5,0,5,0,"A→A:1, C→C:4"
H4,B,5,4,0,1,4,5,0,"A→A:1, C→A:4"
H4,C,5,4,0,1,4,5,0,"A→A:1, C→A:4"
H4,B_reverse,5,4,0,1,4,5,0,"A→A:1, C→A:4"
ALL,A,43,0,0,43,0,33,0,"A→A:14, C→C:19, F→F:10"
ALL,B,55,27,1,28,26,43,0,"A→A:4, C→A:19, C→C:15, C→E:5, D→D:2, F→A:1, F→B:1, F→E:1, F→F:7"
ALL,C,69,35,3,34,32,50,0,"A→A:4, C→A:19, C→C:15, C→E:12, D→D:8, F→A:1, F→B:3, F→F:7"
ALL,B_reverse,49,22,0,29,20,37,0,"A→A:4, C→A:18, C→C:15, E→A:1, E→D:1, F→E:2, F→F:8"
